"filename", "language", "YAML", "C#", "XML", "JSON", "ASP.NET Razor", "CSS", "Docker", "Properties", "Markdown", "SCSS", "JavaScript", "Shell Script", "Batch", "Less", "comment", "blank", "total"
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\Behaviors\LoggingBehavior.cs", "C#", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\Behaviors\ValidationBehavior.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\CQRS\ICommand.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\CQRS\ICommandHandler.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\CQRS\IQuery.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\CQRS\IQueryHandler.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\Common.csproj", "XML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\Exceptions\BadRequestException.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\Exceptions\CustomExceptionHandler.cs", "C#", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\Exceptions\InternalServerException.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\Exceptions\NotFoundException.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\Pagination\PaginatedResult.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\Pagination\PaginationRequest.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\bin\Debug\net8.0\Common.deps.json", "JSON", 0, 0, 0, 324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 324
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\Common.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\Common.csproj.nuget.g.props", "XML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\Common.csproj.nuget.g.targets", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\Debug\net8.0\Common.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 23
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\Debug\net8.0\Common.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\Debug\net8.0\Common.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\Debug\net8.0\Common.sourcelink.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\project.assets.json", "JSON", 0, 0, 0, 784, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 784
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common\obj\project.packagespec.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
